gene,logFC,logCPM,LR,PValue,FDR
NID1,1.88498422970288,1.8037839169604,32.3204479083755,1.30730358562556e-08,0.000147385406243426
EPB41L4A,0.822242408567598,4.51880482734551,28.442494483836,9.65232354044702e-08,0.00036455821501772
EGFL7,1.13749880068245,2.55851397647626,27.5658262228387,1.51837869607806e-07,0.00036455821501772
CXCL3,-1.75703759206608,7.87105450039115,27.4461449138649,1.61530545258869e-07,0.00036455821501772
SLC16A1,0.978622197174146,2.49781460852094,27.4443449835584,1.61680953972734e-07,0.00036455821501772
SH3BP5,-0.715373397301991,6.68714629382012,26.5731833283877,2.53741449669015e-07,0.00047678018392808
PDGFD,2.14097117962262,4.85797680241592,24.8030665540837,6.34963726999002e-07,0.00102265443688382
CHML,-0.998916810254747,4.81665203127444,24.3218122354809,8.15108105348958e-07,0.00109523049471536
DUSP2,-2.47379498062383,3.3618840901731,24.0745997628141,9.26747093377312e-07,0.00109523049471536
CXCL2,-1.90788901408474,6.75769199461815,23.8122919603216,1.06202086129987e-06,0.00109523049471536
DHRS9,1.23336006317109,3.23402008253386,23.8003823283077,1.06861233296691e-06,0.00109523049471536
LILRB2,-0.632516705149592,4.98492555510578,23.3154628970813,1.37490210777392e-06,0.0012917205302536
TENM4,1.91740543064921,1.97294338364155,22.1166430981966,2.56575623170361e-06,0.00222510275047896
NFKBIZ,-1.35467735862245,6.37034768529213,21.6748960449359,3.22990627468592e-06,0.00260099738148636
TMPRSS11E,2.66863503368758,1.76624116130484,20.9611028266088,4.6870353271441e-06,0.00352277575188151
NFKBIA,-1.25995119046929,7.58640213950161,20.253853065297,6.78167420799268e-06,0.00454267809825892
PLEKHG2,-1.5711540462973,1.94172490716719,20.0290124902908,7.62760743925882e-06,0.00454267809825892
PKD2L1,0.682051423631703,4.30766100747913,20.0040557010911,7.72780849657603e-06,0.00454267809825892
IL1B,-1.67736934516574,7.12253318050666,19.9813755632965,7.82001454256558e-06,0.00454267809825892
SKAP1,1.85266844441863,2.86192390180213,19.9238946936675,8.05868032332609e-06,0.00454267809825892
EGR1,-2.27004092336501,5.67330274395185,18.5123185283195,1.68809712979355e-05,0.00899859698643267
DENND2D,0.376846241650623,5.40886288222776,18.4371823578036,1.75597954321021e-05,0.00899859698643267
ERAP2,-2.09467317650171,5.83912055340075,18.2460939970902,1.94123617958201e-05,0.00951543334287288
TANGO2,-0.532161397084213,4.38231217193734,17.9049252578639,2.32219364192682e-05,0.0109085046329513
ZCCHC24,0.96841438087219,3.81758717837848,17.6519420135458,2.65244306559822e-05,0.0119614572486217
NREP,0.886107885362387,2.4595985849031,17.217641266328,3.33326657622242e-05,0.0144535566847429
CCL20,-2.65146973182775,6.26719280937724,17.0109310064583,3.71652396823686e-05,0.0155185523029268
LINC00339,-0.75037831689562,3.59425962851126,16.8360422809549,4.07519366402139e-05,0.0164084762029204
LMAN1,0.365841053006402,6.84030348361324,16.7474752956163,4.26990437045835e-05,0.0165996213353612
TNS1,-1.60245076586816,2.594529857181,16.6588875688387,4.47401912338836e-05,0.0168133638656935
BIRC7,2.99727024461853,1.24058261670144,16.463105772326,4.96060626727198e-05,0.0175598339903321
IL6,-2.17562359251665,1.55042075425924,16.4502589065173,4.99433606920392e-05,0.0175598339903321
PIK3R6,-0.936178291044785,0.121197781529486,16.3957926001667,5.13991947561609e-05,0.0175598339903321
PNRC1,-0.530928283368965,7.70039255004287,16.3029690712525,5.39793077732933e-05,0.0178989034069444
MELTF,0.872091700021386,0.286977874398411,16.0869477292432,6.04995817171446e-05,0.0188778105836705
GOLM1,1.01694709381465,3.10217995618887,16.0490167221475,6.1723671166802e-05,0.0188778105836705
SYTL4,1.13796334472989,2.48794835025297,16.0131472150989,6.29041425199453e-05,0.0188778105836705
CYB5D1,-0.736817885571952,1.92971663155936,15.9762111424206,6.41434514456149e-05,0.0188778105836705
ABHD5,-0.498511826634437,7.81966362474548,15.9422744173889,6.53037619977958e-05,0.0188778105836705
ITSN1,0.68776815750427,5.23170930946878,15.7370065252226,7.2786165824752e-05,0.0199851029426086
MARCKSL1,1.28632939666785,1.42994970422859,15.7144052047658,7.36610444315197e-05,0.0199851029426086
PDE4B,-0.75779733948824,4.31570457210157,15.6838106161915,7.48622132595673e-05,0.0199851029426086
TNFAIP3,-1.0617720040097,6.34331161544694,15.6496945586596,7.6224891478816e-05,0.0199851029426086
IQCA1,1.13071531889345,0.529135818230511,15.6036563407444,7.81034154796312e-05,0.020012225139031
PTPN3,1.86951335913603,0.354679578008294,15.3885095119439,8.7518872752343e-05,0.0219263949202203
TRHDE,1.06537247162468,4.60147571784754,15.2428589412038,9.4533509832006e-05,0.0229960885431825
PPIF,0.501872073657093,5.16780055235737,15.2163845429838,9.58680292291623e-05,0.0229960885431825
A1BG-AS1,0.611142063652469,2.51098737654407,15.0489592891734,0.000104758003236502,0.0246050360101733
EPDR1,0.700821501533433,0.991324624842998,14.9050427879419,0.000113060356991191,0.0254949597210254
