gene,logFC,logCPM,LR,PValue,FDR
CCL4,-3.08642974468247,6.97252617593894,21.3890502427875,3.74906206144151e-06,0.0298772540793646
ADM,-2.09861325615067,0.540222624449415,20.7256216094148,5.3002047329013e-06,0.0298772540793646
PFKFB3,-1.41313060342449,3.30990354958457,19.3730413730942,1.07514125168401e-05,0.0404038082382851
TNFAIP6,-1.90136666098566,4.08538068852949,18.3120626976125,1.87516053085078e-05,0.0528513995620293
BIRC3,-1.02024413156484,2.76137840294413,16.4106173747144,5.09987669498741e-05,0.114992019718576
NFKB2,-1.11829778291737,2.74026939449226,15.9197846064077,6.60843061035761e-05,0.123438318769137
PRDM1,-2.05379327267391,1.35244644493287,15.5843315969852,7.89057478051911e-05,0.123438318769137
TRIP10,-0.910281495028934,2.64181278327335,15.3761668496683,8.80924292792578e-05,0.123438318769137
SOD2,-1.24700771201742,8.13679425513318,15.1644660174854,9.85404354197476e-05,0.123438318769137
MARCKS,-1.61245849205479,5.98967328738305,14.279469819213,0.000157574171419488,0.161120609961569
DICER1-AS1,-1.60253489348729,0.105994128395509,14.2413455223602,0.000160798544982521,0.161120609961569
TMEM236,1.10964950158139,3.73031236449627,14.1201575834125,0.000171496125557817,0.161120609961569
GPR84,-1.59585917359961,0.851237555795791,12.9229059176286,0.000324585570629056,0.246600383444519
IGSF6,0.677524695762306,8.47526871577575,12.8936564771963,0.000329697682054542,0.246600383444519
SERPINB9,-1.04139926847097,2.36222837959546,12.8494547018805,0.00033757760279685,0.246600383444519
GPR132,-1.34609759889641,0.43417615385377,12.781981971563,0.000349973934283511,0.246600383444519
PXN,-1.55920407532882,0.129280648065501,12.0998716585532,0.000504252936505449,0.327429351597084
CCL3,-2.79484981086126,6.3143819430652,12.0326332129983,0.000522771716227383,0.327429351597084
HCK,0.494752561591662,7.57337278691633,11.5780940593357,0.000667333052147259,0.395974359468852
PARAL1,0.524383276402223,6.88454096183713,11.4660204395267,0.000708802998799159,0.399552250423086
ZNF629,-1.25412977497563,1.34775826676862,11.2934035092484,0.000777829579617918,0.41020381266252
SELENON,0.543478418329851,5.4480572580507,11.2401457993158,0.000800468678248664,0.41020381266252
SEMA4A,-0.782802058713581,2.90922164587222,11.1265180078462,0.000851021989929612,0.417148778889846
LUCAT1,-2.11839614341574,0.547392758263349,11.0088725715304,0.000906767836641473,0.422256644614969
ARL4C,-1.04925312544815,3.76598845681516,10.9493777406897,0.000936350551301599,0.422256644614969
FGF10,1.20937389145929,2.42374536575485,10.8171639320682,0.00100563416638535,0.436058445839557
STAC,0.550754999325732,6.49716076331596,10.5514423499489,0.0011609745581408,0.484771376610347
FOXP1-IT1,-0.851770816758575,2.05934406967537,10.4095690087583,0.00125363999285564,0.495396180652548
FADS2,1.51877299761792,2.07891125677202,10.3793829562901,0.00127430275314209,0.495396180652548
NLRP3,-1.15809253559034,1.41826567745157,10.089329866658,0.00149130329873624,0.512848163875413
TNF,-1.74287951331251,4.2694830213676,10.0676216358582,0.00150897695825178,0.512848163875413
AQP3,0.810172889656188,7.33596207508585,10.0674072399716,0.00150915256144173,0.512848163875413
CHST3,1.65643322098351,0.296489310851843,10.0374867279215,0.00153386337479381,0.512848163875413
NINJ1,-1.01431778504994,4.95178908838654,9.96779511319803,0.00159302149962868,0.512848163875413
PTGS2,-1.83248332851574,2.90568504017366,9.95388634186526,0.00160510194180383,0.512848163875413
PIP5K1C,0.437764377856696,4.79124423698937,9.80458795585514,0.00174077034986182,0.512848163875413
IL1B,-1.23516276251175,6.68972393520851,9.73878266723568,0.00180420343551303,0.512848163875413
CCND3,0.619415034675372,7.20981293476267,9.64125571270309,0.00190255126102548,0.512848163875413
LINC00482,1.50936439907206,0.438645820792225,9.50864314044796,0.00204506326445058,0.512848163875413
MYO15A,1.04150581383887,0.99978073347989,9.49349806592774,0.00206201308992196,0.512848163875413
NR1H3,-0.831710499893011,5.52660367683771,9.46574378892358,0.0020934453280091,0.512848163875413
PSTPIP2,-1.01345442239736,3.40603836382152,9.44749011111415,0.00211438240956845,0.512848163875413
MACROD1,-0.869068128655426,2.10383653841676,9.39678493495512,0.00217366278810088,0.512848163875413
ZDHHC1,-1.59871277489052,0.261528908610389,9.39408556264036,0.00217686552750134,0.512848163875413
IER5L,-0.9340703814653,3.70862532677822,9.37492971431565,0.00219973140320461,0.512848163875413
TGFBR1,0.484143664801654,5.34417606875189,9.36484902345766,0.00221186216514076,0.512848163875413
CCL20,-2.34308759056103,5.36326502093122,9.33244070187058,0.00225132295436169,0.512848163875413
IL4I1,-1.07583171408268,3.79701307471155,9.31970134353426,0.00226702942424056,0.512848163875413
TMEM128,0.637072584237253,5.1436290497401,9.31778007276329,0.00226940780407849,0.512848163875413
ZNF503,-1.1523251362365,3.22196518928563,9.2990799836947,0.00229268966014983,0.512848163875413
DHCR7,1.32114453881861,2.4376525860789,9.27741786318589,0.002319962423066,0.512848163875413
TNFAIP3,-0.984359884093838,6.07478095636273,9.1137657576858,0.00253693069519323,0.545966921588583
TMEM97,1.19093059361068,3.10787257055351,9.09247337950309,0.00256663534186579,0.545966921588583
EREG,-2.26641528686416,4.71423377927293,8.97524611274186,0.00273661718305547,0.561483356397462
C15orf48,-0.985375833736646,6.82680858852852,8.94350310914701,0.00278458185794199,0.561483356397462
CLSTN1,0.44912972379134,4.48591605650522,8.92218257364075,0.00281727628604779,0.561483356397462
BAG3,-0.642284207103279,3.19945109189546,8.90828790530919,0.00283879291419685,0.561483356397462
KCNJ2,-0.946482841645037,1.28505812293014,8.790777975634,0.00302757108457007,0.578794415376629
CDC42EP2,-1.191232375621,0.268482380649502,8.78992121457964,0.00302899330381596,0.578794415376629
DNAJB1,-0.79736173963548,5.24930577278138,8.73972068454883,0.00311352208455893,0.585030799688623
ITSN1,0.662827435086336,5.28684231853404,8.62295883496205,0.00331952198752787,0.609186491175068
MCU,-0.608032993159315,3.19541825219645,8.58319527824853,0.00339279483046135,0.609186491175068
DYSF,-1.96838894270914,0.689591203320489,8.55664739760089,0.00344262826197018,0.609186491175068
TPPP3,-1.4317548223442,0.498059108926105,8.54842307950535,0.00345821673187905,0.609186491175068
ZNF436-AS1,-1.4083569607756,0.374482763826819,8.50750473146772,0.00353684728147645,0.610689201246041
SREBF2,0.672447455757984,4.04581023402845,8.48794031926142,0.00357508313661865,0.610689201246041
ZNF107,-0.63284248930233,2.43431498271628,8.38165344020581,0.00379027453774721,0.611255560569343
AOAH,-0.880375746961003,4.52670186827809,8.37470522702299,0.00380479264926428,0.611255560569343
FGF10-AS1,0.954761587075136,1.46283141881933,8.35600181733217,0.00384415466178018,0.611255560569343
SNN,-0.544958193927628,3.62492987199859,8.35018047570922,0.00385649022668736,0.611255560569343
SNX10,-0.383793646033133,8.74097526705296,8.33861368157208,0.0038811201786155,0.611255560569343
RAP2A,0.436324912026236,5.41221057807431,8.32807152615939,0.00390370767793087,0.611255560569343
HSPA1B,-1.15414624706086,5.35313976617361,8.28305773921685,0.0040016684870637,0.615841533098418
BMP1,0.73439093513397,2.18377607337757,8.26473985734218,0.00404224529441927,0.615841533098418
RPH3A,-1.88505377870771,1.10786183650201,8.21338018254404,0.00415826177948674,0.621976442203474
DUSP10,-0.585527144190544,4.45572773813594,8.19834942906169,0.00419285165934575,0.621976442203474
NFKBIA,-0.980796281153899,7.31599991511389,8.15241189030452,0.00430039282846144,0.62964452919577
