gene,logFC,logCPM,LR,PValue,FDR
CLIC2,0.866417269405339,3.26567370595269,30.3381989689343,3.62908154497658e-08,0.000409142653380659
LILRB2,0.637929098717955,4.99463556248167,27.4736090804065,1.59252856682546e-07,0.000897708353119514
MMP14,0.798631370866366,4.24360892434107,25.6857518086522,4.017825307479e-07,0.00150989875055061
TSKU,1.3517614613458,1.37815869804691,22.7922059981903,1.80496221598086e-06,0.00505426143550252
GPD1,-0.504436448596883,7.21871528191883,22.0625613910587,2.63906988133892e-06,0.00505426143550252
TMEM9B-AS1,-0.993976391405904,1.35968082336289,22.0259659230127,2.68986771447713e-06,0.00505426143550252
USP6NL,-0.529835075035108,3.70826808146606,20.8596512945489,4.94195795765589e-06,0.00795937628780179
SIRPB1,-0.828899477780475,6.61593029463392,20.1941234755104,6.99675458818353e-06,0.00986017640339764
LIMS2,-1.98349272419887,2.98034366852125,18.9318309936328,1.35473309091526e-05,0.0169702898521985
SYNE1,0.700831037999322,1.63099632094445,17.4280227274793,2.98394272554188e-05,0.0270222262381591
ARHGEF5,-0.65469600437527,2.82043981894427,17.370891793383,3.07499399620725e-05,0.0270222262381591
ARPIN,0.388742531738366,5.13879193668057,17.3001468228794,3.19162190774264e-05,0.0270222262381591
SLC39A8,0.8798906635157,3.42862116114724,17.273783905934,3.2362112280683e-05,0.0270222262381591
PRR5L,1.04973824262081,0.935120012869173,17.2049507690496,3.35560730294684e-05,0.0270222262381591
SERPINB9,0.702249972775455,2.36222837959546,17.0193143859226,3.70015108900671e-05,0.0278103355849745
SLC28A3,2.01398870108366,1.27112732087364,16.8135780198239,4.12371900472374e-05,0.0290567550370346
GRB10,0.681842203340509,0.384444619392527,16.6014298495976,4.61162407585306e-05,0.0305832057830397
DOCK8-AS1,-0.679611084901705,1.43803149200757,15.8579548109363,6.82789134646167e-05,0.0427653594666716
FOLR2,0.526615162135668,3.45640296728161,15.4630967745742,8.41319210961559e-05,0.0482408552463159
ITGA1,-1.51408089707423,2.00577558818792,15.4308672630848,8.55789520069468e-05,0.0482408552463159
ST6GAL1,0.667005146405339,1.22418519666865,14.9381835289697,0.000111091641466126,0.0591836404687737
TF,1.26269834875737,0.374884484298267,14.8649262006388,0.0001154905171468,0.0591836404687737
MTMR11,-0.900965265799662,3.81773880329646,14.5120357183145,0.000139266921883202,0.0682650120570095
SIGLEC12,2.07603517240574,4.01406552307866,14.2376887818342,0.000161111285958386,0.0756820265789517
SLC37A1,0.612211924641839,4.44564225935128,14.0663069844264,0.000176476981386354,0.0766567283310481
TMEM51,0.442076250913912,4.12010889551972,14.0630264771566,0.000176785075093778,0.0766567283310481
RRAS,0.276396267879949,5.90422948479245,13.9422821696316,0.000188510002878799,0.0771433825401766
TANC2,-0.291226900313896,6.56024580152551,13.8648721594265,0.000196435963723559,0.0771433825401766
RGS9,0.53239069970777,2.76044968124438,13.7875807470936,0.000204684823246158,0.0771433825401766
CHPF,0.556283348601769,1.46748388997401,13.7529136879098,0.000208497160571071,0.0771433825401766
NKG7,0.955258765077826,0.845656200552623,13.674860125399,0.000217344686197727,0.0771433825401766
SH3PXD2B,0.897443713785128,1.86698474971397,13.660930691159,0.000218962944942846,0.0771433825401766
UGCG,-0.505230885879052,5.6996372293241,13.5926724092732,0.000227070139673859,0.0775754168085785
CDKN2B,-0.600659745695296,0.534465803552969,13.3097426161578,0.000264030604151885,0.0875494420943633
TES,0.315415570402734,4.88863536437051,12.8322719839303,0.000340691815965071,0.109023931904152
FAR2,-0.691683048598252,5.63724993274881,12.6790699521887,0.000369771451477892,0.109023931904152
