Set,N,DE,P.DE,FDR,DEG.GENES,k,n,GR
HALLMARK_HYPOXIA,178,2,0.000202296101460252,0.00625742240312479,"ADM,PFKFB3",2,3,0.666666666666667
HALLMARK_TNFA_SIGNALING_VIA_NFKB,198,2,0.000250296896124992,0.00625742240312479,"CCL4,PFKFB3",2,3,0.666666666666667
HALLMARK_ALLOGRAFT_REJECTION,185,1,0.0255265565099219,0.263470889086128,CCL4,1,3,0.333333333333333
HALLMARK_ADIPOGENESIS,191,1,0.0263470889086128,0.263470889086128,PFKFB3,1,3,0.333333333333333
HALLMARK_INFLAMMATORY_RESPONSE,191,1,0.0263470889086128,0.263470889086128,ADM,1,3,0.333333333333333
HALLMARK_ANDROGEN_RESPONSE,97,0,1,1,"",0,3,0
HALLMARK_ANGIOGENESIS,27,0,1,1,"",0,3,0
HALLMARK_APICAL_JUNCTION,172,0,1,1,"",0,3,0
HALLMARK_APICAL_SURFACE,38,0,1,1,"",0,3,0
HALLMARK_APOPTOSIS,153,0,1,1,"",0,3,0
HALLMARK_BILE_ACID_METABOLISM,96,0,1,1,"",0,3,0
HALLMARK_CHOLESTEROL_HOMEOSTASIS,72,0,1,1,"",0,3,0
HALLMARK_COAGULATION,113,0,1,1,"",0,3,0
HALLMARK_COMPLEMENT,187,0,1,1,"",0,3,0
HALLMARK_DNA_REPAIR,148,0,1,1,"",0,3,0
HALLMARK_E2F_TARGETS,198,0,1,1,"",0,3,0
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,163,0,1,1,"",0,3,0
HALLMARK_ESTROGEN_RESPONSE_EARLY,183,0,1,1,"",0,3,0
HALLMARK_ESTROGEN_RESPONSE_LATE,176,0,1,1,"",0,3,0
HALLMARK_FATTY_ACID_METABOLISM,143,0,1,1,"",0,3,0
HALLMARK_G2M_CHECKPOINT,193,0,1,1,"",0,3,0
HALLMARK_GLYCOLYSIS,184,0,1,1,"",0,3,0
HALLMARK_HEDGEHOG_SIGNALING,31,0,1,1,"",0,3,0
HALLMARK_HEME_METABOLISM,178,0,1,1,"",0,3,0
HALLMARK_IL2_STAT5_SIGNALING,192,0,1,1,"",0,3,0
HALLMARK_IL6_JAK_STAT3_SIGNALING,82,0,1,1,"",0,3,0
HALLMARK_INTERFERON_ALPHA_RESPONSE,96,0,1,1,"",0,3,0
HALLMARK_INTERFERON_GAMMA_RESPONSE,195,0,1,1,"",0,3,0
HALLMARK_KRAS_SIGNALING_DN,120,0,1,1,"",0,3,0
HALLMARK_KRAS_SIGNALING_UP,173,0,1,1,"",0,3,0
HALLMARK_MITOTIC_SPINDLE,199,0,1,1,"",0,3,0
HALLMARK_MTORC1_SIGNALING,196,0,1,1,"",0,3,0
HALLMARK_MYC_TARGETS_V1,195,0,1,1,"",0,3,0
HALLMARK_MYC_TARGETS_V2,57,0,1,1,"",0,3,0
HALLMARK_MYOGENESIS,155,0,1,1,"",0,3,0
HALLMARK_NOTCH_SIGNALING,31,0,1,1,"",0,3,0
HALLMARK_OXIDATIVE_PHOSPHORYLATION,200,0,1,1,"",0,3,0
HALLMARK_P53_PATHWAY,194,0,1,1,"",0,3,0
HALLMARK_PANCREAS_BETA_CELLS,23,0,1,1,"",0,3,0
HALLMARK_PEROXISOME,95,0,1,1,"",0,3,0
HALLMARK_PI3K_AKT_MTOR_SIGNALING,99,0,1,1,"",0,3,0
HALLMARK_PROTEIN_SECRETION,94,0,1,1,"",0,3,0
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,49,0,1,1,"",0,3,0
HALLMARK_SPERMATOGENESIS,94,0,1,1,"",0,3,0
HALLMARK_TGF_BETA_SIGNALING,52,0,1,1,"",0,3,0
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,108,0,1,1,"",0,3,0
HALLMARK_UV_RESPONSE_DN,136,0,1,1,"",0,3,0
HALLMARK_UV_RESPONSE_UP,145,0,1,1,"",0,3,0
HALLMARK_WNT_BETA_CATENIN_SIGNALING,39,0,1,1,"",0,3,0
HALLMARK_XENOBIOTIC_METABOLISM,168,0,1,1,"",0,3,0
